outcome_id,vendor_id,vendor_name,period,contract_renewed,renewal_term_months,churned,escalation_flag,incident_count,sla_breach_flag,payment_dispute_flag,relationship_health
93,12,DataStream Inc,2025-Q1,1,6,0,0,1,0,0,Strong
94,12,DataStream Inc,2025-Q2,0,0,0,1,2,0,1,Strong
95,12,DataStream Inc,2025-Q3,1,24,0,0,2,0,0,Strong
96,12,DataStream Inc,2025-Q4,1,12,0,0,1,0,0,Strong
97,13,SteelWorks Co,2024-Q1,1,36,0,0,0,0,0,Strong
98,13,SteelWorks Co,2024-Q2,1,12,0,0,1,0,0,Strong
99,13,SteelWorks Co,2024-Q3,0,0,0,0,1,0,0,Strong
100,13,SteelWorks Co,2024-Q4,0,0,0,0,0,0,0,Strong
101,13,SteelWorks Co,2025-Q1,1,12,0,0,2,0,0,Strong
102,13,SteelWorks Co,2025-Q2,1,12,0,0,0,0,0,Strong
103,13,SteelWorks Co,2025-Q3,1,12,0,0,1,0,0,Strong
104,13,SteelWorks Co,2025-Q4,1,36,0,1,0,0,1,Strong
105,14,RapidFreight Ltd,2024-Q1,1,24,0,0,1,0,0,Strong
106,14,RapidFreight Ltd,2024-Q2,1,24,0,0,0,0,0,Strong
107,14,RapidFreight Ltd,2024-Q3,0,0,0,0,2,0,0,Strong
108,14,RapidFreight Ltd,2024-Q4,0,0,0,0,1,0,0,Strong
109,14,RapidFreight Ltd,2025-Q1,1,12,0,0,2,0,0,Strong
110,14,RapidFreight Ltd,2025-Q2,1,36,0,0,2,0,0,Strong
111,14,RapidFreight Ltd,2025-Q3,1,12,0,0,3,0,0,Strong
112,14,RapidFreight Ltd,2025-Q4,0,0,0,0,2,0,0,Strong
113,15,GreenSource Corp,2024-Q1,0,0,0,0,3,0,0,Weak
114,15,GreenSource Corp,2024-Q2,0,0,0,1,5,0,0,Weak
115,15,GreenSource Corp,2024-Q3,1,12,0,1,6,0,0,Weak
116,15,GreenSource Corp,2024-Q4,0,0,0,0,3,0,0,Weak
117,15,GreenSource Corp,2025-Q1,1,12,0,1,5,0,0,Weak
118,15,GreenSource Corp,2025-Q2,1,36,0,0,3,0,0,Weak
119,15,GreenSource Corp,2025-Q3,1,24,0,0,3,0,0,Weak
120,15,GreenSource Corp,2025-Q4,1,12,0,0,2,0,0,Weak
121,16,CloudNine Systems,2024-Q1,1,24,0,0,2,0,0,Strong
122,16,CloudNine Systems,2024-Q2,0,0,0,0,0,0,0,Strong
123,16,CloudNine Systems,2024-Q3,1,12,0,0,0,0,0,Strong
124,16,CloudNine Systems,2024-Q4,1,12,0,0,2,0,0,Strong
125,16,CloudNine Systems,2025-Q1,1,6,0,0,2,0,0,Strong
126,16,CloudNine Systems,2025-Q2,1,24,0,0,2,0,0,Strong
127,16,CloudNine Systems,2025-Q3,0,0,0,0,2,0,0,Strong
128,16,CloudNine Systems,2025-Q4,1,12,0,0,3,0,0,Strong
129,17,FastLane Logistics,2024-Q1,1,12,0,0,3,0,0,Strong
130,17,FastLane Logistics,2024-Q2,0,0,0,0,0,0,0,Strong
131,17,FastLane Logistics,2024-Q3,1,36,0,0,2,0,0,Strong
132,17,FastLane Logistics,2024-Q4,1,6,0,0,0,0,0,Strong
133,17,FastLane Logistics,2025-Q1,0,0,0,0,3,0,0,Strong
134,17,FastLane Logistics,2025-Q2,1,36,0,0,0,0,0,Strong
135,17,FastLane Logistics,2025-Q3,1,12,0,0,0,0,0,Strong
136,17,FastLane Logistics,2025-Q4,1,6,0,1,4,0,0,Strong
137,18,PrecisionForge Ltd,2024-Q1,1,24,0,0,0,0,0,Strong
138,18,PrecisionForge Ltd,2024-Q2,1,6,0,0,1,0,0,Strong
139,18,PrecisionForge Ltd,2024-Q3,1,36,0,1,2,0,1,Strong
140,18,PrecisionForge Ltd,2024-Q4,1,24,0,0,1,0,0,Strong
141,18,PrecisionForge Ltd,2025-Q1,1,24,0,0,0,0,0,Strong
142,18,PrecisionForge Ltd,2025-Q2,1,12,0,0,0,0,0,Strong
143,18,PrecisionForge Ltd,2025-Q3,0,0,0,0,2,0,0,Strong
144,18,PrecisionForge Ltd,2025-Q4,1,24,0,0,1,0,0,Strong
145,19,StratEdge Consulting,2024-Q1,1,24,0,0,1,0,0,Strong
146,19,StratEdge Consulting,2024-Q2,1,12,0,0,1,0,0,Strong
147,19,StratEdge Consulting,2024-Q3,0,0,0,0,1,0,0,Strong
148,19,StratEdge Consulting,2024-Q4,1,12,0,0,2,0,0,Strong
149,19,StratEdge Consulting,2025-Q1,1,6,0,0,1,0,0,Strong
150,19,StratEdge Consulting,2025-Q2,1,24,0,0,1,0,0,Strong
151,19,StratEdge Consulting,2025-Q3,1,12,0,0,2,0,0,Strong
152,19,StratEdge Consulting,2025-Q4,1,24,0,0,1,0,0,Strong
153,20,EcoRaw Materials,2024-Q1,1,6,0,0,1,0,0,Strong
154,20,EcoRaw Materials,2024-Q2,1,6,0,0,0,0,0,Strong
155,20,EcoRaw Materials,2024-Q3,1,6,0,1,0,1,0,Strong
156,20,EcoRaw Materials,2024-Q4,1,12,0,0,2,0,0,Strong
157,20,EcoRaw Materials,2025-Q1,1,6,0,0,0,0,0,Strong
158,20,EcoRaw Materials,2025-Q2,1,12,0,0,0,0,0,Strong
159,20,EcoRaw Materials,2025-Q3,1,24,0,0,1,0,0,Strong
160,20,EcoRaw Materials,2025-Q4,0,0,0,0,0,0,0,Strong
161,21,NexGen IT Solutions,2024-Q1,0,0,0,1,1,1,0,Strong
162,21,NexGen IT Solutions,2024-Q2,1,6,0,0,2,0,0,Strong
163,21,NexGen IT Solutions,2024-Q3,0,0,0,0,2,0,0,Strong
164,21,NexGen IT Solutions,2024-Q4,1,24,0,0,2,0,0,Strong
165,21,NexGen IT Solutions,2025-Q1,1,6,0,1,1,1,0,Strong
166,21,NexGen IT Solutions,2025-Q2,1,24,0,0,1,0,0,Strong
167,21,NexGen IT Solutions,2025-Q3,1,24,0,0,1,0,0,Strong
168,21,NexGen IT Solutions,2025-Q4,1,12,0,0,1,0,0,Strong
169,22,CargoWise Corp,2024-Q1,1,24,0,0,1,0,0,Neutral
170,22,CargoWise Corp,2024-Q2,1,6,0,0,3,0,0,Neutral
171,22,CargoWise Corp,2024-Q3,0,0,0,1,4,0,0,Neutral
172,22,CargoWise Corp,2024-Q4,0,0,0,0,2,0,0,Neutral
173,22,CargoWise Corp,2025-Q1,0,0,0,0,3,0,0,Neutral
174,22,CargoWise Corp,2025-Q2,0,0,0,1,1,1,0,Neutral
175,22,CargoWise Corp,2025-Q3,1,24,0,0,2,0,0,Neutral
176,22,CargoWise Corp,2025-Q4,0,0,0,0,3,0,0,Neutral
177,23,MetalPlus Manufacturing,2024-Q1,1,24,0,0,1,0,0,Strong
178,23,MetalPlus Manufacturing,2024-Q2,1,12,0,1,0,1,0,Strong
179,23,MetalPlus Manufacturing,2024-Q3,0,0,0,0,0,0,0,Strong
180,23,MetalPlus Manufacturing,2024-Q4,1,12,0,0,1,0,0,Strong
181,23,MetalPlus Manufacturing,2025-Q1,1,36,0,1,4,0,0,Strong
182,23,MetalPlus Manufacturing,2025-Q2,1,6,0,0,0,0,0,Strong
183,23,MetalPlus Manufacturing,2025-Q3,0,0,0,0,0,0,0,Strong
184,23,MetalPlus Manufacturing,2025-Q4,0,0,0,0,1,0,0,Strong
185,24,Alpha Advisors,2024-Q1,1,12,0,0,1,0,0,Strong
186,24,Alpha Advisors,2024-Q2,1,24,0,0,0,0,0,Strong
187,24,Alpha Advisors,2024-Q3,0,0,0,1,0,1,0,Strong
188,24,Alpha Advisors,2024-Q4,1,24,0,0,0,0,0,Strong
189,24,Alpha Advisors,2025-Q1,1,24,0,0,3,0,0,Strong
190,24,Alpha Advisors,2025-Q2,1,24,0,0,2,0,0,Strong
191,24,Alpha Advisors,2025-Q3,1,12,0,0,2,0,0,Strong
192,24,Alpha Advisors,2025-Q4,1,36,0,0,3,0,0,Strong
193,25,TerraMat Co,2024-Q1,1,24,0,0,0,0,0,Strong
194,25,TerraMat Co,2024-Q2,1,12,0,1,2,0,1,Strong
195,25,TerraMat Co,2024-Q3,0,0,0,1,4,0,0,Strong
196,25,TerraMat Co,2024-Q4,1,6,0,0,3,0,0,Strong
197,25,TerraMat Co,2025-Q1,0,0,0,0,1,0,0,Strong
198,25,TerraMat Co,2025-Q2,0,0,0,0,2,0,0,Strong
199,25,TerraMat Co,2025-Q3,1,12,0,0,2,0,0,Strong
200,25,TerraMat Co,2025-Q4,1,6,0,0,2,0,0,Strong
201,26,CyberEdge Technologies,2024-Q1,1,36,0,0,0,0,0,Strong
202,26,CyberEdge Technologies,2024-Q2,1,12,0,0,2,0,0,Strong
203,26,CyberEdge Technologies,2024-Q3,0,0,1,0,2,0,0,Strong
204,26,CyberEdge Technologies,2024-Q4,0,0,0,1,1,1,0,Strong
205,26,CyberEdge Technologies,2025-Q1,0,0,0,0,1,0,0,Strong
206,26,CyberEdge Technologies,2025-Q2,0,0,0,0,0,0,0,Strong
207,26,CyberEdge Technologies,2025-Q3,0,0,0,0,0,0,0,Strong
208,26,CyberEdge Technologies,2025-Q4,0,0,0,0,3,0,0,Strong
209,27,SpeedFreight Inc,2024-Q1,1,12,0,0,3,0,0,Neutral
210,27,SpeedFreight Inc,2024-Q2,0,0,0,1,2,1,0,Neutral
211,27,SpeedFreight Inc,2024-Q3,1,24,0,1,3,1,0,Neutral
212,27,SpeedFreight Inc,2024-Q4,1,12,0,0,3,0,0,Neutral
213,27,SpeedFreight Inc,2025-Q1,1,6,0,0,0,0,0,Neutral
214,27,SpeedFreight Inc,2025-Q2,1,24,0,0,2,0,0,Neutral
215,27,SpeedFreight Inc,2025-Q3,1,6,0,0,3,0,0,Neutral
216,27,SpeedFreight Inc,2025-Q4,1,6,0,1,4,0,0,Neutral
217,28,Ironclad Manufacturing,2024-Q1,1,24,0,1,1,1,0,Neutral
218,28,Ironclad Manufacturing,2024-Q2,1,12,0,0,2,0,0,Neutral
219,28,Ironclad Manufacturing,2024-Q3,0,0,0,0,1,0,0,Neutral
220,28,Ironclad Manufacturing,2024-Q4,1,12,0,0,2,0,0,Neutral
221,28,Ironclad Manufacturing,2025-Q1,1,6,0,0,1,0,0,Neutral
222,28,Ironclad Manufacturing,2025-Q2,1,36,0,0,2,0,0,Neutral
223,28,Ironclad Manufacturing,2025-Q3,1,12,0,0,2,0,0,Neutral
224,28,Ironclad Manufacturing,2025-Q4,1,24,0,1,4,1,0,Neutral
225,29,ProConsult Partners,2024-Q1,0,0,0,1,5,1,0,Weak
226,29,ProConsult Partners,2024-Q2,1,36,0,1,2,0,1,Weak
227,29,ProConsult Partners,2024-Q3,1,12,0,0,2,0,0,Weak
228,29,ProConsult Partners,2024-Q4,0,0,0,1,4,0,0,Weak
229,29,ProConsult Partners,2025-Q1,0,0,0,0,3,0,0,Weak
230,29,ProConsult Partners,2025-Q2,0,0,0,0,1,0,0,Weak
231,29,ProConsult Partners,2025-Q3,0,0,0,1,4,0,0,Weak
232,29,ProConsult Partners,2025-Q4,0,0,0,1,5,0,0,Weak
233,30,NaturalRes Corp,2024-Q1,0,0,0,0,3,0,0,Neutral
234,30,NaturalRes Corp,2024-Q2,0,0,0,0,2,0,0,Neutral
235,30,NaturalRes Corp,2024-Q3,0,0,0,0,2,0,0,Neutral
236,30,NaturalRes Corp,2024-Q4,0,0,1,0,1,0,0,Neutral
237,30,NaturalRes Corp,2025-Q1,0,0,0,1,2,1,0,Neutral
238,30,NaturalRes Corp,2025-Q2,0,0,0,0,2,0,0,Neutral
239,30,NaturalRes Corp,2025-Q3,0,0,0,1,2,0,1,Neutral
240,30,NaturalRes Corp,2025-Q4,0,0,0,1,5,0,0,Neutral
241,31,Quantum IT Group,2024-Q1,1,12,0,1,1,0,1,Strong
242,31,Quantum IT Group,2024-Q2,1,24,0,0,0,0,0,Strong
243,31,Quantum IT Group,2024-Q3,1,12,0,0,1,0,0,Strong
244,31,Quantum IT Group,2024-Q4,0,0,0,0,1,0,0,Strong
245,31,Quantum IT Group,2025-Q1,1,12,0,0,0,0,0,Strong
246,31,Quantum IT Group,2025-Q2,1,12,0,1,0,0,1,Strong
247,31,Quantum IT Group,2025-Q3,1,6,0,0,0,0,0,Strong
248,31,Quantum IT Group,2025-Q4,0,0,0,0,0,0,0,Strong
249,32,GlobalLink Logistics,2024-Q1,0,0,0,0,3,0,0,Strong
250,32,GlobalLink Logistics,2024-Q2,1,12,0,0,2,0,0,Strong
251,32,GlobalLink Logistics,2024-Q3,1,12,0,1,2,1,0,Strong
252,32,GlobalLink Logistics,2024-Q4,1,12,0,0,0,0,0,Strong
253,32,GlobalLink Logistics,2025-Q1,1,24,0,0,1,0,0,Strong
254,32,GlobalLink Logistics,2025-Q2,1,36,0,0,0,0,0,Strong
255,32,GlobalLink Logistics,2025-Q3,0,0,0,0,2,0,0,Strong
256,32,GlobalLink Logistics,2025-Q4,1,24,0,0,1,0,0,Strong
257,33,Summit Manufacturing,2024-Q1,1,6,0,1,1,1,0,Strong
258,33,Summit Manufacturing,2024-Q2,1,36,0,0,3,0,0,Strong
259,33,Summit Manufacturing,2024-Q3,1,12,0,1,1,0,1,Strong
260,33,Summit Manufacturing,2024-Q4,1,12,0,0,3,0,0,Strong
261,33,Summit Manufacturing,2025-Q1,0,0,0,0,1,0,0,Strong
262,33,Summit Manufacturing,2025-Q2,1,12,0,0,1,0,0,Strong
263,33,Summit Manufacturing,2025-Q3,1,12,0,0,1,0,0,Strong
264,33,Summit Manufacturing,2025-Q4,1,12,0,1,2,0,1,Strong
265,34,Insight Consulting,2024-Q1,0,0,1,1,4,1,0,Neutral
266,34,Insight Consulting,2024-Q2,0,0,0,1,3,1,0,Neutral
267,34,Insight Consulting,2024-Q3,0,0,0,1,3,1,0,Neutral
268,34,Insight Consulting,2024-Q4,0,0,0,1,4,0,0,Neutral
269,34,Insight Consulting,2025-Q1,0,0,0,1,1,0,1,Neutral
270,34,Insight Consulting,2025-Q2,0,0,0,0,3,0,0,Neutral
271,34,Insight Consulting,2025-Q3,0,0,0,0,1,0,0,Neutral
272,34,Insight Consulting,2025-Q4,0,0,0,0,1,0,0,Neutral
273,35,PureSource Materials,2024-Q1,1,24,0,0,2,0,0,Neutral
274,35,PureSource Materials,2024-Q2,1,6,0,0,0,0,0,Neutral
275,35,PureSource Materials,2024-Q3,0,0,0,0,2,0,0,Neutral
276,35,PureSource Materials,2024-Q4,0,0,0,0,1,0,0,Neutral
277,35,PureSource Materials,2025-Q1,1,12,0,0,1,0,0,Neutral
278,35,PureSource Materials,2025-Q2,1,12,0,0,3,0,0,Neutral
279,35,PureSource Materials,2025-Q3,0,0,0,0,3,0,0,Neutral
280,35,PureSource Materials,2025-Q4,1,24,0,1,4,0,0,Neutral
281,36,InnovateTech Ltd,2024-Q1,0,0,0,0,2,0,0,Strong
282,36,InnovateTech Ltd,2024-Q2,1,6,0,0,0,0,0,Strong
283,36,InnovateTech Ltd,2024-Q3,1,24,0,0,2,0,0,Strong
284,36,InnovateTech Ltd,2024-Q4,1,24,0,0,1,0,0,Strong
285,36,InnovateTech Ltd,2025-Q1,0,0,0,0,1,0,0,Strong
286,36,InnovateTech Ltd,2025-Q2,1,6,0,0,1,0,0,Strong
287,36,InnovateTech Ltd,2025-Q3,0,0,0,0,0,0,0,Strong
288,36,InnovateTech Ltd,2025-Q4,1,6,0,0,0,0,0,Strong
289,37,AirCargo Express,2024-Q1,1,24,0,0,3,0,0,Strong
290,37,AirCargo Express,2024-Q2,1,12,0,1,4,0,0,Strong
291,37,AirCargo Express,2024-Q3,1,6,0,0,3,0,0,Strong
292,37,AirCargo Express,2024-Q4,1,6,0,0,1,0,0,Strong
293,37,AirCargo Express,2025-Q1,1,6,0,0,3,0,0,Strong
294,37,AirCargo Express,2025-Q2,1,24,0,0,1,0,0,Strong
295,37,AirCargo Express,2025-Q3,1,6,0,0,1,0,0,Strong
296,37,AirCargo Express,2025-Q4,0,0,0,1,1,0,1,Strong
297,38,PowerForge Mfg,2024-Q1,0,0,0,0,2,0,0,Strong
298,38,PowerForge Mfg,2024-Q2,0,0,0,0,1,0,0,Strong
299,38,PowerForge Mfg,2024-Q3,1,24,0,0,0,0,0,Strong
300,38,PowerForge Mfg,2024-Q4,1,12,0,0,2,0,0,Strong
301,38,PowerForge Mfg,2025-Q1,1,24,0,0,0,0,0,Strong
302,38,PowerForge Mfg,2025-Q2,1,12,0,0,2,0,0,Strong
303,38,PowerForge Mfg,2025-Q3,1,36,0,0,1,0,0,Strong
304,38,PowerForge Mfg,2025-Q4,1,6,0,1,2,1,0,Strong
305,39,Clarity Consulting,2024-Q1,0,0,0,0,0,0,0,Strong
306,39,Clarity Consulting,2024-Q2,1,12,0,0,1,0,0,Strong
307,39,Clarity Consulting,2024-Q3,1,12,0,1,1,0,1,Strong
308,39,Clarity Consulting,2024-Q4,1,6,0,0,2,0,0,Strong
309,39,Clarity Consulting,2025-Q1,1,24,0,0,0,0,0,Strong
310,39,Clarity Consulting,2025-Q2,0,0,0,0,2,0,0,Strong
311,39,Clarity Consulting,2025-Q3,1,12,0,1,0,1,0,Strong
312,39,Clarity Consulting,2025-Q4,1,24,0,0,0,0,0,Strong
313,40,NightOwl Logistics,2024-Q1,1,24,0,1,2,1,0,Strong
314,40,NightOwl Logistics,2024-Q2,0,0,0,0,1,0,0,Strong
315,40,NightOwl Logistics,2024-Q3,0,0,0,0,0,0,0,Strong
316,40,NightOwl Logistics,2024-Q4,1,24,0,0,3,0,0,Strong
317,40,NightOwl Logistics,2025-Q1,1,24,0,1,4,0,1,Strong
318,40,NightOwl Logistics,2025-Q2,1,6,0,0,1,0,0,Strong
319,40,NightOwl Logistics,2025-Q3,1,12,0,0,3,0,0,Strong
320,40,NightOwl Logistics,2025-Q4,1,12,0,1,3,0,1,Strong
321,41,Vendor 041,2024-Q1,1,12,0,1,4,1,0,Strong
322,41,Vendor 041,2024-Q2,1,12,0,0,1,0,0,Strong
323,41,Vendor 041,2024-Q3,1,6,0,0,2,0,0,Strong
324,41,Vendor 041,2024-Q4,1,6,0,0,1,0,0,Strong
325,41,Vendor 041,2025-Q1,0,0,0,1,0,1,0,Strong
326,41,Vendor 041,2025-Q2,0,0,0,0,0,0,0,Strong
327,41,Vendor 041,2025-Q3,0,0,0,1,1,0,1,Strong
328,41,Vendor 041,2025-Q4,1,24,0,0,3,0,0,Strong
329,42,Vendor 042,2024-Q1,1,6,0,0,1,0,0,Strong
330,42,Vendor 042,2024-Q2,1,24,0,0,1,0,0,Strong
331,42,Vendor 042,2024-Q3,1,12,0,0,1,0,0,Strong
332,42,Vendor 042,2024-Q4,1,12,0,0,0,0,0,Strong
333,42,Vendor 042,2025-Q1,0,0,0,0,3,0,0,Strong
334,42,Vendor 042,2025-Q2,1,6,0,0,0,0,0,Strong
335,42,Vendor 042,2025-Q3,0,0,0,0,0,0,0,Strong
336,42,Vendor 042,2025-Q4,1,12,0,0,2,0,0,Strong
337,43,Vendor 043,2024-Q1,0,0,0,0,0,0,0,Weak
338,43,Vendor 043,2024-Q2,0,0,0,0,3,0,0,Weak
339,43,Vendor 043,2024-Q3,1,6,0,0,3,0,0,Weak
340,43,Vendor 043,2024-Q4,1,24,0,0,2,0,0,Weak
341,43,Vendor 043,2025-Q1,0,0,0,1,4,0,0,Weak
342,43,Vendor 043,2025-Q2,1,6,0,0,2,0,0,Weak
343,43,Vendor 043,2025-Q3,1,12,0,0,3,0,0,Weak
344,43,Vendor 043,2025-Q4,1,12,0,0,0,0,0,Weak
345,44,Vendor 044,2024-Q1,1,12,0,0,3,0,0,Strong
346,44,Vendor 044,2024-Q2,1,36,0,0,1,0,0,Strong
347,44,Vendor 044,2024-Q3,1,6,0,0,3,0,0,Strong
348,44,Vendor 044,2024-Q4,1,12,0,0,3,0,0,Strong
349,44,Vendor 044,2025-Q1,1,12,0,0,2,0,0,Strong
350,44,Vendor 044,2025-Q2,0,0,0,0,2,0,0,Strong
351,44,Vendor 044,2025-Q3,0,0,0,0,2,0,0,Strong
352,44,Vendor 044,2025-Q4,1,24,0,0,2,0,0,Strong
353,45,Vendor 045,2024-Q1,1,6,0,0,1,0,0,Neutral
354,45,Vendor 045,2024-Q2,1,12,0,0,1,0,0,Neutral
355,45,Vendor 045,2024-Q3,1,36,0,0,2,0,0,Neutral
356,45,Vendor 045,2024-Q4,1,12,0,1,5,0,0,Neutral
357,45,Vendor 045,2025-Q1,1,6,0,1,1,0,1,Neutral
